#{"t_start": 1744830908.196892, "env_id": "None"}
r,l,t
-5.8793225,225,3.788157
-6.6775103,225,4.990816
-2.763214,225,6.085622
51.944008,70,6.431268
-8.698308,225,7.441382
-4.013981,225,8.530616
6.950207,225,9.578799
-16.445753,225,10.600941
-10.197978,225,11.622916
-22.604832,166,12.487597
-5.185469,225,15.742223
3.5859504,225,16.752513
-0.07316637,225,17.795425
9.066772,225,18.845261
-18.865267,225,19.933727
-8.659318,225,20.992521
-2.0046265,225,22.066666
-4.2798147,225,23.142022
-4.599843,225,24.245117
