#{"t_start": 1744985593.8296444, "env_id": "None"}
r,l,t
-8.261196,225,4.293152
-7.790007,225,7.183952
-9.254332,225,10.132283
-9.040535,225,13.069627
-5.173583,225,15.890352
-9.5204735,225,18.639987
-8.989562,225,21.623998
-4.600718,225,24.499809
-6.0942054,225,27.390805
-6.742872,225,32.813083
-1.2183325,39,33.361767
-8.508966,225,36.321089
-9.38433,225,39.123016
-4.374082,225,42.047845
-7.623801,225,45.03291
-3.8187358,225,47.800182
-8.025064,225,50.593853
-8.432218,225,53.375611
-2.6173666,84,54.410526
-8.037615,225,60.021631
-0.79294825,20,60.29451
-5.258727,225,63.119609
-2.9569886,198,65.375277
